date,unit_id,well_id,well_role,anonymized_x,anonymized_y,uranium_concentration,injection_flow_proxy,extraction_flow_proxy,hydrochemical_proxy_1,hydrochemical_proxy_2,stage_label
2000-01-01,U_SYN_001,W0,extraction,0.0,0.0,9.937594621933211,0.0,22.102609230073426,6.408923189705011,3.7445195068342176,early
2000-01-01,U_SYN_001,W1,injection,50.0,0.0,7.94363672860067,24.243773663803545,0.0,6.408923189705011,3.7445195068342176,early
2000-01-01,U_SYN_001,W2,injection,-50.0,0.0,8.607913540114529,23.168012715007603,0.0,6.457328580264247,3.866482548613438,early
2000-01-01,U_SYN_001,W3,injection,0.0,50.0,8.213788348256072,24.600360956645165,0.0,6.403660807126928,3.6926259866903277,early
2000-01-01,U_SYN_001,W4,injection,0.0,-50.0,8.003284484626402,24.75245177311297,0.0,6.423231083813192,3.7674445000981955,early
2000-01-02,U_SYN_001,W0,extraction,0.0,0.0,9.713735744613741,0.0,22.011675167304062,6.407539141608814,3.751649602651226,early
2000-01-02,U_SYN_001,W1,injection,50.0,0.0,8.143205408919831,22.635381236767362,0.0,6.407539141608814,3.751649602651226,early
2000-01-02,U_SYN_001,W2,injection,-50.0,0.0,7.944059167381814,23.154465782200575,0.0,6.402994166137954,3.794712551818719,early
2000-01-02,U_SYN_001,W3,injection,0.0,50.0,7.916134839698325,24.29848171022426,0.0,6.378631173515505,3.820748676217645,early
2000-01-02,U_SYN_001,W4,injection,0.0,-50.0,8.074498712466117,23.943215313815564,0.0,6.427022523742824,3.717808097475982,early
2000-01-03,U_SYN_001,W0,extraction,0.0,0.0,10.259357946624064,0.0,23.874831264246716,6.385517441265578,3.8517250985386275,early
2000-01-03,U_SYN_001,W1,injection,50.0,0.0,8.14759586393802,24.378137650656726,0.0,6.385517441265578,3.8517250985386275,early
2000-01-03,U_SYN_001,W2,injection,-50.0,0.0,8.485028090365802,23.70914343460129,0.0,6.446202338285546,3.798822673808905,early
2000-01-03,U_SYN_001,W3,injection,0.0,50.0,8.805187278396442,25.095096956550417,0.0,6.462990409010844,3.6424267840771765,early
2000-01-03,U_SYN_001,W4,injection,0.0,-50.0,8.508327186295784,25.013812125003312,0.0,6.434240185122498,3.637095169110367,early
2000-01-04,U_SYN_001,W0,extraction,0.0,0.0,10.394542301151372,0.0,24.122677463883818,6.417813598960191,3.785115980948118,early
2000-01-04,U_SYN_001,W1,injection,50.0,0.0,8.445313634404478,24.638095524097356,0.0,6.417813598960191,3.785115980948118,early
2000-01-04,U_SYN_001,W2,injection,-50.0,0.0,8.418102141173152,25.48706393162281,0.0,6.447422171474767,3.768424138959555,early
2000-01-04,U_SYN_001,W3,injection,0.0,50.0,8.438218762728344,24.95927843985002,0.0,6.416916626080563,3.7778279152964926,early
2000-01-04,U_SYN_001,W4,injection,0.0,-50.0,8.470728170946497,23.897836995741795,0.0,6.466685433321025,3.7838629278600457,early
2000-01-05,U_SYN_001,W0,extraction,0.0,0.0,10.000313663023828,0.0,24.024562149551553,6.365566613396774,3.793561299538889,early
2000-01-05,U_SYN_001,W1,injection,50.0,0.0,8.124693527049095,25.071457762573562,0.0,6.365566613396774,3.793561299538889,early
2000-01-05,U_SYN_001,W2,injection,-50.0,0.0,8.3835252401548,24.009351054644362,0.0,6.425398562040633,3.8513284811659387,early
2000-01-05,U_SYN_001,W3,injection,0.0,50.0,7.853604510165577,25.479217376353382,0.0,6.359190376960418,3.68662812030467,early
2000-01-05,U_SYN_001,W4,injection,0.0,-50.0,8.372662621312811,24.73651640651856,0.0,6.37902042355629,3.681758784946011,early
2000-01-06,U_SYN_001,W0,extraction,0.0,0.0,10.203048546731015,0.0,23.015635771490405,6.502770408988031,3.6747267152700527,early
2000-01-06,U_SYN_001,W1,injection,50.0,0.0,8.28902060734805,24.816428505073276,0.0,6.502770408988031,3.6747267152700527,early
2000-01-06,U_SYN_001,W2,injection,-50.0,0.0,8.443420139460084,24.41957476038633,0.0,6.484023319074342,3.7853059572745402,early
2000-01-06,U_SYN_001,W3,injection,0.0,50.0,8.136525561132265,25.942351466848706,0.0,6.419436710464083,3.861788414192759,early
2000-01-06,U_SYN_001,W4,injection,0.0,-50.0,8.637621553834627,24.84069481025444,0.0,6.3881157815538385,3.727685468841883,early
2000-01-07,U_SYN_001,W0,extraction,0.0,0.0,10.037478525871656,0.0,22.5475759200037,6.338821361341099,3.546201786241992,early
2000-01-07,U_SYN_001,W1,injection,50.0,0.0,8.48079307449076,24.805388039364786,0.0,6.338821361341099,3.546201786241992,early
2000-01-07,U_SYN_001,W2,injection,-50.0,0.0,8.423369777131683,24.866343456704687,0.0,6.435662694537458,3.610018344765934,early
2000-01-07,U_SYN_001,W3,injection,0.0,50.0,7.926646020534973,25.57389764553795,0.0,6.554219115344661,3.6796948359510835,early
2000-01-07,U_SYN_001,W4,injection,0.0,-50.0,8.39717809013822,25.440405548586533,0.0,6.47479788571331,3.7017194627751473,early
2000-01-08,U_SYN_001,W0,extraction,0.0,0.0,10.14644750181974,0.0,24.846965887829217,6.443960412090871,3.695528281452287,early
2000-01-08,U_SYN_001,W1,injection,50.0,0.0,8.402243769342993,25.657052159933794,0.0,6.443960412090871,3.695528281452287,early
2000-01-08,U_SYN_001,W2,injection,-50.0,0.0,7.99433094278796,25.67152287306331,0.0,6.484946511912863,3.7312858614711386,early
2000-01-08,U_SYN_001,W3,injection,0.0,50.0,8.315156308914943,27.040184151353372,0.0,6.403904969413073,3.703259665166869,early
2000-01-08,U_SYN_001,W4,injection,0.0,-50.0,8.39406155260376,25.001734057549314,0.0,6.454450369024945,3.812146540476138,early
2000-01-09,U_SYN_001,W0,extraction,0.0,0.0,10.413406454058965,0.0,24.230192537984745,6.47897909892063,3.6539790767191183,early
2000-01-09,U_SYN_001,W1,injection,50.0,0.0,8.654806049235804,25.09020581674277,0.0,6.47897909892063,3.6539790767191183,early
2000-01-09,U_SYN_001,W2,injection,-50.0,0.0,8.57591118558116,24.848981817401697,0.0,6.471555973927159,3.6390750244155843,early
2000-01-09,U_SYN_001,W3,injection,0.0,50.0,8.599647514644817,25.992783538060397,0.0,6.506632244867604,3.746370504255265,early
2000-01-09,U_SYN_001,W4,injection,0.0,-50.0,8.845899579985614,26.403177834176713,0.0,6.488785809049443,3.5852090955795384,early
2000-01-10,U_SYN_001,W0,extraction,0.0,0.0,10.306364835303663,0.0,24.745037777701167,6.510068575677261,3.7174106397853333,early
2000-01-10,U_SYN_001,W1,injection,50.0,0.0,8.703938220468869,25.575552732934906,0.0,6.510068575677261,3.7174106397853333,early
2000-01-10,U_SYN_001,W2,injection,-50.0,0.0,7.86024087781801,24.994585517488787,0.0,6.455800643663711,3.6944395580578346,early
2000-01-10,U_SYN_001,W3,injection,0.0,50.0,8.38578641377003,25.007125726505816,0.0,6.5192481512893625,3.67443990416628,early
2000-01-10,U_SYN_001,W4,injection,0.0,-50.0,8.41728009374149,26.18718492931857,0.0,6.5484930128579,3.813297391931674,early
2000-01-11,U_SYN_001,W0,extraction,0.0,0.0,10.670548418797228,0.0,25.44838798451504,6.4525082335652515,3.6132878768554764,early
2000-01-11,U_SYN_001,W1,injection,50.0,0.0,8.375932650317953,26.420887623988914,0.0,6.4525082335652515,3.6132878768554764,early
